id,poilon,poilat,Taxonomy,cat
10297,-1.3079149999999942,1.645305999999998,Food,Full-Service Restaurants
10300,-1.0029750000000064,1.8336129999999997,Service,Commercial Banking
10312,-1.3147129999999976,1.6346589999999992,Service,Commercial Banking
10314,-1.334108999999998,1.6519320000000022,Food,Full-Service Restaurants
10321,-1.3534920000000028,1.6834249999999997,Service,Commercial Banking
10328,-1.1404459999999972,1.6569860000000034,Service,Offices of Real Estate Agents and Brokers
10331,-1.2675310000000053,1.5574879999999993,Service,Commercial Banking
10343,-1.1780449999999973,1.5546289999999985,Service,Commercial Banking
10347,-1.4118509999999986,1.585414,City / Outdoors,Nature Parks and Other Similar Institutions
10350,-1.3615570000000048,1.8498400000000004,Health,General Medical and Surgical Hospitals
10355,-1.1814609999999988,1.5554830000000024,Service,Commercial Banking
10359,-1.2316730000000007,1.7675649999999976,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
10388,-1.2269210000000044,1.6430549999999968,Service,Commercial Banking
10391,-1.0702730000000003,1.5028190000000023,Food,Full-Service Restaurants
10393,-1.4678949999999986,1.5437889999999967,Health,Offices of Dentists
10402,-1.1320010000000025,1.7039260000000027,Service,Offices of Real Estate Agents and Brokers
10410,-1.159205,1.7008579999999967,Food,Full-Service Restaurants
10414,-1.3491850000000056,1.593547000000001,Food,Full-Service Restaurants
10418,-1.147008999999997,1.5174170000000018,Service,Commercial Banking
10422,-1.1387040000000042,1.6563039999999987,Service,Offices of Real Estate Agents and Brokers
10426,-1.198442,1.509991999999997,Service,Offices of Real Estate Agents and Brokers
10437,-1.0831019999999967,1.6421909999999968,Health,Offices of Dentists
10438,-1.4312680000000029,1.6885059999999967,Sports,Fitness and Recreational Sports Centers
10452,-1.3058759999999978,1.6421879999999973,Service,Commercial Banking
10454,-1.1425550000000015,1.890315000000001,Health,Offices of Dentists
10457,-1.1892469999999946,1.727839000000003,Food,Full-Service Restaurants
10463,-1.057657000000006,1.9474269999999976,Service,Commercial Banking
10465,-1.0508600000000001,1.5400080000000003,Service,Commercial Banking
10466,-1.2511230000000069,1.8199630000000013,Sports,Fitness and Recreational Sports Centers
10481,-1.158660999999995,1.7231019999999972,Service,Commercial Banking
10482,-1.1193310000000025,1.5955709999999996,Food,Full-Service Restaurants
10484,-1.2969709999999992,1.591185000000003,Food,Full-Service Restaurants
10489,-1.4489310000000017,1.9651660000000035,Food,Full-Service Restaurants
10492,-1.138928000000007,1.6234109999999973,City / Outdoors,Nature Parks and Other Similar Institutions
10498,-1.3061320000000052,1.6383829999999975,Food,Full-Service Restaurants
10499,-1.134636999999998,1.8925399999999968,Service,Offices of Real Estate Agents and Brokers
10502,-1.3262490000000042,1.8865109999999987,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
10503,-1.2352510000000052,1.7937259999999995,Service,Offices of Real Estate Agents and Brokers
10506,-1.4651340000000062,1.5427230000000023,Service,Commercial Banking
10530,-1.4380940000000066,1.9590869999999967,Service,Hotels (except Casino Hotels) and Motels
10531,-1.1380840000000063,1.6571440000000024,Service,Offices of Real Estate Agents and Brokers
10536,-1.4330719999999957,1.6889049999999983,Health,Offices of Dentists
10537,-1.3496159999999975,1.594417,Sports,Fitness and Recreational Sports Centers
10546,-1.1324050000000057,1.7032540000000012,Food,Full-Service Restaurants
10553,-1.0065570000000008,1.8297949999999972,City / Outdoors,Nature Parks and Other Similar Institutions
10561,-1.2378499999999946,1.5353580000000022,Food,Full-Service Restaurants
10578,-1.1033259999999956,1.8214669999999984,Service,Offices of Real Estate Agents and Brokers
10584,-1.0511869999999988,1.523187,City / Outdoors,Nature Parks and Other Similar Institutions
