Taxonomy_a,Taxonomy_b,cat_a,cat_b,dep,dep_count,prod,dep_avg
Arts / Museum,Health,Art Dealers,Offices of Dentists,0.7715643323222561,54,33448,0.23067577503057166
Arts / Museum,Health,Museums,General Medical and Surgical Hospitals,0.0379229123727356,5,33448,0.01133787143408742
Arts / Museum,Health,Museums,Offices of Dentists,0.4473928839700035,24,33448,0.13375773857031914
Arts / Museum,Health,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",General Medical and Surgical Hospitals,0.043119255189566504,13,33448,0.012891430037540811
Arts / Museum,Health,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Offices of Dentists,0.6711382248677545,147,33448,0.20065122723862547
Arts / Museum,Office,Art Dealers,Office,0.9912789600040778,78,35816,0.2767698682164613
Arts / Museum,Office,Museums,Office,0.9099627894690413,60,35816,0.25406600108025496
Arts / Museum,Office,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Office,2.508077305279071,285,35816,0.7002672842525886
Arts / Museum,Service,Art Dealers,All Other Automotive Repair and Maintenance,0.013153577976244,1,187146,0.0007028511416885213
Arts / Museum,Service,Art Dealers,Automotive Oil Change and Lubrication Shops,0.0006813226446907,1,187146,3.6405942135589326e-05
Arts / Museum,Service,Art Dealers,Beauty Salons,0.0923108372551529,11,187146,0.004932557321831774
Arts / Museum,Service,Art Dealers,Car Washes,0.0205087117393796,3,187146,0.001095866956246973
Arts / Museum,Service,Art Dealers,Commercial Banking,0.9499146356082174,85,187146,0.05075794489907438
Arts / Museum,Service,Art Dealers,Diet and Weight Reducing Centers,0.011588354189349,2,187146,0.0006192146339942612
Arts / Museum,Service,Art Dealers,Drycleaning and Laundry Services (except Coin-Operated),0.142161857720758,15,187146,0.007596307573806441
Arts / Museum,Service,Art Dealers,Gasoline Stations with Convenience Stores,0.2217298410010411,20,187146,0.011847960469421794
Arts / Museum,Service,Art Dealers,General Automotive Repair,0.016741504878140398,3,187146,0.0008945692068299828
Arts / Museum,Service,Art Dealers,"Hair, Nail, and Skin Care Services",0.9412091563467532,78,187146,0.05029277442995058
Arts / Museum,Service,Art Dealers,Hotels (except Casino Hotels) and Motels,0.0585794324569988,4,187146,0.0031301461135690213
Arts / Museum,Service,Art Dealers,Offices of Real Estate Agents and Brokers,0.1110504936537893,15,187146,0.005933896190877139
Arts / Museum,Service,Art Dealers,Other Gasoline Stations,0.2864518203541176,20,187146,0.015306328767599499
Arts / Museum,Service,Art Dealers,Other Personal Care Services,0.24473253662943809,21,187146,0.013077091502326424
Arts / Museum,Service,Art Dealers,Parking Lots and Garages,0.0011047356588357,1,187146,5.903068507131865e-05
Arts / Museum,Service,Art Dealers,Passenger Car Rental,0.0103193308542005,3,187146,0.000551405365554193
Arts / Museum,Service,Art Dealers,Veterinary Services,0.0258976631141976,5,187146,0.0013838213541404894
